,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.985,0.9899497487437185,0.9874686716791979,199.0
Pepper__bell___healthy,0.9865771812080537,0.9932432432432432,0.98989898989899,296.0
Potato___Early_blight,0.975609756097561,1.0,0.9876543209876543,200.0
Potato___Late_blight,0.9693877551020408,0.95,0.9595959595959596,200.0
Potato___healthy,0.9333333333333333,0.9333333333333333,0.9333333333333333,30.0
Tomato_Bacterial_spot,0.9641148325358851,0.9460093896713615,0.9549763033175356,426.0
Tomato_Early_blight,0.8140703517587939,0.81,0.8120300751879699,200.0
Tomato_Late_blight,0.9529085872576177,0.900523560209424,0.9259757738896366,382.0
Tomato_Leaf_Mold,0.9040404040404041,0.9421052631578948,0.9226804123711341,190.0
Tomato_Septoria_leaf_spot,0.8652849740932642,0.943502824858757,0.9027027027027027,354.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.9310344827586207,0.9671641791044776,0.9487554904831625,335.0
Tomato__Target_Spot,0.9718875502008032,0.8612099644128114,0.9132075471698113,281.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9891304347826086,0.9922118380062306,0.9906687402799378,642.0
Tomato__Tomato_mosaic_virus,0.891566265060241,0.9866666666666667,0.9367088607594937,75.0
Tomato_healthy,0.9904153354632588,0.9748427672955975,0.9825673534072901,318.0
accuracy,0.9491279069767442,0.9491279069767442,0.9491279069767442,0.9491279069767442
macro avg,0.9416240829128326,0.9460508519135676,0.943214969004254,4128.0
weighted avg,0.9502171060650398,0.9491279069767442,0.9491144496225141,4128.0
